date,time,open,high,low,close,last_price,volume,oi
2025-09-04,2025-09-04 11:36:10.577609+05:30,24814.8,24814.8,24811.75,24814.75,24814.75,,
2025-09-04,2025-09-04 11:36:11.077994+05:30,24814.8,24814.8,24811.75,24814.4,24814.4,,
2025-09-04,2025-09-04 11:36:11.578827+05:30,24814.8,24814.95,24811.75,24814.95,24814.95,,
2025-09-04,2025-09-04 11:36:12.078450+05:30,24814.8,24814.95,24811.75,24814.2,24814.2,,
2025-09-04,2025-09-04 11:36:12.577900+05:30,24814.8,24814.95,24811.75,24814.5,24814.5,,
2025-09-04,2025-09-04 11:36:13.077694+05:30,24814.8,24814.95,24811.75,24814.45,24814.45,,
2025-09-04,2025-09-04 11:36:13.577753+05:30,24814.8,24814.95,24811.75,24814.55,24814.55,,
2025-09-04,2025-09-04 11:36:14.077980+05:30,24814.8,24815.05,24811.75,24815.05,24815.05,,
2025-09-04,2025-09-04 11:36:14.577834+05:30,24814.8,24815.25,24811.75,24815.25,24815.25,,
2025-09-04,2025-09-04 11:36:15.078030+05:30,24814.8,24815.5,24811.75,24815.5,24815.5,,
2025-09-04,2025-09-04 11:36:15.577534+05:30,24814.8,24815.65,24811.75,24815.65,24815.65,,
2025-09-04,2025-09-04 11:36:16.077721+05:30,24814.8,24815.65,24811.75,24815.35,24815.35,,
2025-09-04,2025-09-04 11:36:16.577605+05:30,24814.8,24815.65,24811.75,24814.2,24814.2,,
2025-09-04,2025-09-04 11:36:17.077604+05:30,24814.8,24815.65,24811.75,24815.05,24815.05,,
2025-09-04,2025-09-04 11:36:17.577554+05:30,24814.8,24815.65,24811.75,24815.35,24815.35,,
2025-09-04,2025-09-04 11:36:18.077547+05:30,24814.8,24815.65,24811.75,24814.7,24814.7,,
2025-09-04,2025-09-04 11:36:18.578255+05:30,24814.8,24815.65,24811.75,24815.1,24815.1,,
2025-09-04,2025-09-04 11:36:19.077503+05:30,24814.8,24815.65,24811.75,24814.6,24814.6,,
